ID,Name,Email,PhoneNumber,Username,Type
1,John Doe,johndoe718@example.com,+1-586-142-3749,johndoe718,user
2,Jane Smith,janesmith347@example.com,+1-698-654-5619,janesmith347,user
3,Alice Johnson,alicejohnson563@example.com,+1-590-365-9117,alicejohnson563,user
4,Bob Brown,bobbrown906@example.com,+1-150-569-6382,bobbrown906,user
5,Charlie Davis,charliedavis153@example.com,+1-399-332-7370,charliedavis153,user
6,Diana Evans,dianaevans405@example.com,+1-198-944-5493,dianaevans405,user
7,Edward Foster,edwardfoster374@example.com,+1-755-642-4410,edwardfoster374,user
8,Grace Hall,gracehall548@example.com,+1-373-509-5450,gracehall548,user
9,Ian Green,iangreen554@example.com,+1-496-745-6545,iangreen554,user
10,Jill Hill,jillhill860@example.com,+1-590-538-5340,jillhill860,user
,,,,
